text,cognitive_rigid_score,external_blame_score,social_hostility_score,buzzword_density,emotional_intensity,identity_fusion_score,conspiratorial_thinking_score
"Meanwhile on r/con: top article is “This can’t be real: how Atlantic got a hold of these texts” published by, and I kid you not:

India Times

For those that don’t know, here’s their contact info:

Corporate Office
Times Internet
Ecstasy IT Park
Plot 391, Udyog Vihar
Phase 3, Gurugram
Haryana - 122016

🤦🏻‍♀️

I guess they will read whatever confirm their biases.",0.7,0.5,0.4,0.2,0.5,0.3,0.4
"Wait... Are they describing a double tap? So not just leaking war plans, leaking war crimes.",0.4,0.5,0.3,0.2,0.5,0.2,0.4
"MAGAs still don't understand why this is bad. Their current thinking is ""well it was a staffer not Waltz who added the people and so it's his fault"". Then they also give Hesgeth a free pass because it wasn't his incompetence that led them to being caught 😂 Like how can you be as stupid as the MAGAs? Hesgeth sharing classified info that risks operational security is the whole issue. This is barely a scandal if the Hesgeth content isn't in the chat because JD Vance saying he hates Europe isn't a big deal because we knew that already..",0.7,0.8,0.7,0.5,0.9,0.4,0.5
Tulsi perjured herself yesterday.,0.5,0.4,0.6,0.0,0.5,0.0,0.0
Witkoff was in Moscow when he was added to the chat? If true this is getting worse.,0.4,0.5,0.3,0.0,0.5,0.2,0.6
Wow. No one should let Trump and his cronies bury this story. This is huge. I am subscribing to the Atlantic now.,0.4,0.7,0.5,0.3,0.6,0.2,0.5
"An exchange between Representative Jimmy Gomez, Democrat of California, and John Ratcliffe, the C.I.A. director, briefly devolved into a shouting match as Gomez asked witnesses whether or not “Pete Hegseth had been drinking before he leaked classified information.”

“I think thats an offensive line of questioning — the answer’s no,” Ratcliffe shot back.

Good for Rep. Gomez! Finally the elephant in the room gets some attention on the Congressional record.",0.4,0.5,0.5,0.2,0.6,0.4,0.3
imagine putting someone who thinks god is up there waving an american flag in charge of literally anything.,0.7,0.5,0.6,0.0,0.7,0.2,0.4
"They just need to bring him in for an interview, and not allow any “water” bottles. Dude will have DTs within about 20 minutes and spill the beans.",0.5,0.4,0.3,0.0,0.6,0.1,0.5
"I still get a kick that Hegseth spelled out OPSEC as if the people on the chat were unfamiliar with the term, which ironically they were, especially Hegseth. He was probably so proud of himself he knew what the acronym meant.",0.2,0.1,0.3,0.0,0.4,0.1,0.0
"Seriously, this kind of high dungeon should have been exercised when Trump first absconded with US secrets to Mar A Lago.",0.7,0.8,0.7,0.5,0.6,0.4,0.5
"That would be a good start. Congress needs to demand a special prosecutor, because there is no way DOJ does this job.",0.5,0.7,0.4,0.3,0.5,0.2,0.6
"I agree, but can we stop with the use of the -gate suffix for everything?",0.2,0.1,0.1,0.0,0.2,0.1,0.0
Waltz and Hegseth should also be prosecuted.,0.5,0.7,0.5,0.0,0.4,0.2,0.3
Yes absolutely! Lock them up,0.7,0.8,0.7,0.5,0.6,0.2,0.4
Nadler's calls for their prosecution plus $4.50 will get you a Cafe Latte Grande at Starbucks.,0.2,0.3,0.4,0.1,0.2,0.1,0.2
Perjury laws mean nothing if they are never enforced.,0.4,0.5,0.3,0.0,0.4,0.2,0.3
Republicans never prosecute their own,0.7,0.8,0.5,0.0,0.6,0.2,0.4
Doesn’t Gabbard have diplomatic immunity from Russia?,0.2,0.1,0.1,0.0,0.1,0.0,0.2
"Of all the things that will never happen, this will never happen the most.",0.5,0.0,0.0,0.0,0.2,0.0,0.0
1) What is the scope of Diophantine Geometry i.e. what sort of questions do we try to answer or have answered? 2) How massive is the intersection between Diophantine Geometry and Algebraic Number Theory? 3) What courses are considered prerequisites for Arithmetic Geometry?,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Currently proving that you can reconstruct a planar Peano continuum up to homotopy equivalence by looking at the fundamental group of infinitely many circles wedged on a dense set of the Peano continuum which corresponds to a subgroup of the Hawaiian earring group.,0.1,0.0,0.0,0.2,0.1,0.0,0.0
"Recently learned how the Riemann sphere offers a nice way of visualising the 'point', infinity, which then means certain complex functions with domain C - {a} can be well-behaved at a! Bit of a weird one, but oddly intuitive too.",0.2,0.0,0.0,0.1,0.2,0.0,0.0
"Currently working on having any remotely interesting modelling projects cancelled, while tedious poorly scoped out ETL tasks that are outside my job scope piled on. And also updating my resume.",0.2,0.4,0.3,0.1,0.5,0.2,0.1
Doing some probability problems to review. I'm not a student anymore; just doing problems from a textbook.,0.1,0.0,0.0,0.0,0.1,0.0,0.0
Currently looking into simple complexes of groups and conditions for developability. I've been stuck on an example for two days so I'll be asking my promoter for some clarification tomorrow.,0.2,0.1,0.1,0.0,0.2,0.1,0.0
"I'm not sure this 'counts' for you guys, but I'm trying to kinda-formalize a practical model of RTS games. A lot of it rests on what I call 'intensity,' which is basically an application/extension of Lanchester's Square Law. 'Intensity' acts like a waterline, such that units/forces without the requisite level of intensity can simply be ignored---which drastically simplifies things.

I am very much not a mathematician, just a gamer and software dev, but [this article](https://sugaku.net/content/understanding-the-cultural-divide-between-mathematics-and-ai/) very much spoke to me and what I'm trying to do.",0.2,0.1,0.1,0.3,0.2,0.4,0.1
"Currently working on an assignment for my statistical modelling class which is to predict the winner of Oscar Best Picture using multinomial logistic regression. Actually has revealed some really interesting insights on the significance of different predictors (genre, no. of nominations, run time etc etc.)",0.1,0.0,0.0,0.1,0.2,0.0,0.0
"I'm taking a topology course this semester. And when I say I am the same person I was before the class, I mean it, nothing new learned. I can't understand anything. Even category theory or abstract algebra was better than this.",0.7,0.4,0.2,0.0,0.5,0.1,0.0
not translating my linear algebra notes in spanish this time to avoid working however having a fun time doing stuff with bases hell yeah,0.2,0.1,0.1,0.0,0.4,0.1,0.0
Might as well read the Abel prize statement instead of some slop article [https://abelprize.no/citation/citation-abel-committee-masaki-kashiwara](https://abelprize.no/citation/citation-abel-committee-masaki-kashiwara),0.2,0.1,0.3,0.0,0.2,0.1,0.0
"I love how the author of the article is clearly struggling to write about Kashiwara’s research in a way that someone with absolutely no knowledge of research mathematics can understand.

Maybe articles like this should just go right into the technical jargon. Might just be me, but I sometimes enjoy reading articles that go completely over my head. It makes the work it’s writing about feel all the more impressive.",0.2,0.1,0.1,0.0,0.3,0.0,0.0
Anyone got a link to dodge the paywall?,0.2,0.0,0.0,0.0,0.1,0.0,0.1
"Oh lawd.  I am stoopid, beyond redemption.",0.4,0.0,0.1,0.0,0.5,0.0,0.0
"A nice expository article on Kashiwara's work by one of his main collaborators, Pierre Schapira. Algebraic analysis is a deep area of mathematics that has a reputation for being forbiddingly technical, so good thing the work of Sato and his school is being recognized.",0.1,0.0,0.0,0.1,0.2,0.0,0.0
The generalized Stokes’ theorem sort of proves itself once differential forms are properly defined. I nominate differential forms.,0.2,0.0,0.0,0.1,0.1,0.0,0.0
"Direct integrals are pretty neat.

They generalize discrete direct products to a measure theoretic ""continuous"" version.",0.1,0.0,0.0,0.1,0.0,0.0,0.0
The definition of conditional expectation being a random variable instead of a value is really beautiful in my opinion.,0.1,0.0,0.0,0.0,0.2,0.0,0.0
Gotta find it in algebra. Idk a sheaf or a scheme.,0.2,0.1,0.1,0.0,0.2,0.0,0.0
Differentiable function from n-dimensional to m-dimensional space.,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"The transfer principle. ""Infinity is any sufficiently large number"".",0.2,0.0,0.0,0.0,0.1,0.0,0.0
Energy can be defined as the quantity that is invariant under time translations in a lagrangian. I also like the definitions of dynamical systems and stochastic integrals.,0.1,0.0,0.0,0.1,0.0,0.0,0.0
neighbourhood. i just love using neighbourhoods.,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"The fractional derivative and how it fits into Sobolev spaces is so neat, I almost couldn't believe it was true. There's something so satisfying that taking the derivative of a non- differentiable function puts you in a negative Sobolev space.",0.2,0.0,0.0,0.1,0.4,0.1,0.0
"I noticed this too. Luckily I'm not currently looking for a position, but yes, it's weird - it's the longest outage of the website I can remember of, and by far. The messages left on the homepage by the admins are rather vague, so I'm not sure what the reason behind this delay could be...

Is anyone on this sub working at the Duke Math department? If yes, what's the situation over there? Is the local network running again?",0.2,0.1,0.1,0.0,0.3,0.2,0.1
"At this point, I think US places which haven’t hired or made shortlists are either: 1) some small schools which are very late 2) second tier postdocs which were approved very late (but most of these also have shortlists) 3) some positions like adjuncts or lecturers",0.2,0.1,0.1,0.0,0.2,0.0,0.0
